Minute: 24, Num of tweets: 11, Current mean: 10.17, Variance: 1.08
Minute: 25, Num of tweets: 11, Current mean: 10.2, Variance: 1.08
Minute: 26, Num of tweets: 16, Current mean: 10.42, Variance: 1.54
Minute: 27, Num of tweets: 14, Current mean: 10.56, Variance: 1.33
Minute: 28, Num of tweets: 5, Current mean: 10.36, Variance: 0.48
Minute: 29, Num of tweets: 6, Current mean: 10.21, Variance: 0.59
Minute: 30, Num of tweets: 21, Current mean: 10.57, Variance: 1.99
Minute: 31, Num of tweets: 12, Current mean: 10.61, Variance: 1.13
Minute: 32, Num of tweets: 14, Current mean: 10.72, Variance: 1.31
Minute: 33, Num of tweets: 12, Current mean: 10.76, Variance: 1.12
Minute: 34, Num of tweets: 12, Current mean: 10.79, Variance: 1.11
Minute: 35, Num of tweets: 16, Current mean: 10.94, Variance: 1.46
Minute: 36, Num of tweets: 13, Current mean: 11.0, Variance: 1.18
Minute: 37, Num of tweets: 9, Current mean: 10.95, Variance: 0.82
Minute: 38, Num of tweets: 16, Current mean: 11.08, Variance: 1.44
Minute: 39, Num of tweets: 11, Current mean: 11.08, Variance: 0.99
Minute: 40, Num of tweets: 12, Current mean: 11.1, Variance: 1.08
Minute: 41, Num of tweets: 10, Current mean: 11.07, Variance: 0.9
Minute: 42, Num of tweets: 22, Current mean: 11.33, Variance: 1.94
Minute: 43, Num of tweets: 10, Current mean: 11.3, Variance: 0.88
Minute: 44, Num of tweets: 11, Current mean: 11.3, Variance: 0.97
Minute: 45, Num of tweets: 9, Current mean: 11.24, Variance: 0.8
Minute: 46, Num of tweets: 9, Current mean: 11.2, Variance: 0.8
Minute: 47, Num of tweets: 13, Current mean: 11.23, Variance: 1.16
Minute: 48, Num of tweets: 9, Current mean: 11.19, Variance: 0.8
Minute: 49, Num of tweets: 13, Current mean: 11.22, Variance: 1.16
Minute: 50, Num of tweets: 14, Current mean: 11.28, Variance: 1.24
Minute: 51, Num of tweets: 17, Current mean: 11.39, Variance: 1.49
Minute: 52, Num of tweets: 15, Current mean: 11.46, Variance: 1.31
Minute: 53, Num of tweets: 6, Current mean: 11.36, Variance: 0.53
Minute: 54, Num of tweets: 17, Current mean: 11.46, Variance: 1.48
Minute: 55, Num of tweets: 16, Current mean: 11.55, Variance: 1.39
Minute: 56, Num of tweets: 13, Current mean: 11.57, Variance: 1.12
Minute: 57, Num of tweets: 12, Current mean: 11.58, Variance: 1.04
Minute: 58, Num of tweets: 13, Current mean: 11.6, Variance: 1.12
Minute: 59, Num of tweets: 9, Current mean: 11.56, Variance: 0.78
Minute: 60, Num of tweets: 12, Current mean: 11.57, Variance: 1.04
Minute: 61, Num of tweets: 11, Current mean: 11.56, Variance: 0.95
Minute: 62, Num of tweets: 16, Current mean: 11.63, Variance: 1.38
Minute: 63, Num of tweets: 13, Current mean: 11.65, Variance: 1.12
Minute: 64, Num of tweets: 10, Current mean: 11.62, Variance: 0.86
Minute: 65, Num of tweets: 16, Current mean: 11.69, Variance: 1.37
Minute: 66, Num of tweets: 14, Current mean: 11.73, Variance: 1.19
Minute: 67, Num of tweets: 19, Current mean: 11.84, Variance: 1.6
Minute: 68, Num of tweets: 12, Current mean: 11.84, Variance: 1.01
Minute: 69, Num of tweets: 10, Current mean: 11.81, Variance: 0.85
Minute: 70, Num of tweets: 6, Current mean: 11.73, Variance: 0.51
Minute: 71, Num of tweets: 20, Current mean: 11.85, Variance: 1.69
Minute: 72, Num of tweets: 16, Current mean: 11.9, Variance: 1.34
Minute: 73, Num of tweets: 17, Current mean: 11.97, Variance: 1.42
Minute: 74, Num of tweets: 15, Current mean: 12.01, Variance: 1.25
Minute: 75, Num of tweets: 23, Current mean: 12.16, Variance: 1.89
Minute: 76, Num of tweets: 16, Current mean: 12.21, Variance: 1.31
Minute: 77, Num of tweets: 13, Current mean: 12.22, Variance: 1.06
Minute: 78, Num of tweets: 11, Current mean: 12.21, Variance: 0.9
Minute: 79, Num of tweets: 9, Current mean: 12.16, Variance: 0.74
Minute: 80, Num of tweets: 12, Current mean: 12.16, Variance: 0.99
Minute: 81, Num of tweets: 17, Current mean: 12.22, Variance: 1.39
Minute: 82, Num of tweets: 9, Current mean: 12.18, Variance: 0.74
Minute: 83, Num of tweets: 12, Current mean: 12.18, Variance: 0.99
Minute: 84, Num of tweets: 20, Current mean: 12.27, Variance: 1.63
Minute: 85, Num of tweets: 8, Current mean: 12.22, Variance: 0.65
Minute: 86, Num of tweets: 16, Current mean: 12.27, Variance: 1.3
Minute: 87, Num of tweets: 17, Current mean: 12.32, Variance: 1.38
Minute: 88, Num of tweets: 12, Current mean: 12.32, Variance: 0.97
Minute: 89, Num of tweets: 10, Current mean: 12.29, Variance: 0.81
Minute: 90, Num of tweets: 10, Current mean: 12.27, Variance: 0.81
Minute: 91, Num of tweets: 8, Current mean: 12.22, Variance: 0.65
Minute: 92, Num of tweets: 9, Current mean: 12.18, Variance: 0.74
Minute: 93, Num of tweets: 16, Current mean: 12.23, Variance: 1.31
Minute: 94, Num of tweets: 9, Current mean: 12.19, Variance: 0.74
Minute: 95, Num of tweets: 9, Current mean: 12.16, Variance: 0.74
Minute: 96, Num of tweets: 12, Current mean: 12.16, Variance: 0.99
Minute: 97, Num of tweets: 12, Current mean: 12.15, Variance: 0.99
Minute: 98, Num of tweets: 16, Current mean: 12.19, Variance: 1.31
Minute: 99, Num of tweets: 12, Current mean: 12.19, Variance: 0.98
Minute: 100, Num of tweets: 16, Current mean: 12.23, Variance: 1.31
Minute: 101, Num of tweets: 12, Current mean: 12.23, Variance: 0.98
Minute: 102, Num of tweets: 8, Current mean: 12.19, Variance: 0.66
Minute: 103, Num of tweets: 6, Current mean: 12.13, Variance: 0.49
Minute: 104, Num of tweets: 20, Current mean: 12.2, Variance: 1.64
Minute: 105, Num of tweets: 12, Current mean: 12.2, Variance: 0.98
Minute: 106, Num of tweets: 10, Current mean: 12.18, Variance: 0.82
Minute: 107, Num of tweets: 12, Current mean: 12.18, Variance: 0.99
Minute: 108, Num of tweets: 12, Current mean: 12.18, Variance: 0.99
Minute: 109, Num of tweets: 23, Current mean: 12.28, Variance: 1.87
Minute: 110, Num of tweets: 10, Current mean: 12.25, Variance: 0.82
Minute: 111, Num of tweets: 8, Current mean: 12.22, Variance: 0.65
Minute: 112, Num of tweets: 14, Current mean: 12.23, Variance: 1.14
Minute: 113, Num of tweets: 9, Current mean: 12.2, Variance: 0.74
Minute: 114, Num of tweets: 4, Current mean: 12.13, Variance: 0.33
Minute: 115, Num of tweets: 14, Current mean: 12.15, Variance: 1.15
Minute: 116, Num of tweets: 8, Current mean: 12.11, Variance: 0.66
Minute: 117, Num of tweets: 7, Current mean: 12.07, Variance: 0.58
Minute: 118, Num of tweets: 16, Current mean: 12.1, Variance: 1.32
Minute: 119, Num of tweets: 10, Current mean: 12.08, Variance: 0.83
Minute: 120, Num of tweets: 18, Current mean: 12.13, Variance: 1.48
Minute: 121, Num of tweets: 10, Current mean: 12.12, Variance: 0.83
Minute: 122, Num of tweets: 17, Current mean: 12.16, Variance: 1.4
Minute: 123, Num of tweets: 9, Current mean: 12.13, Variance: 0.74
Minute: 124, Num of tweets: 10, Current mean: 12.11, Variance: 0.83
Minute: 125, Num of tweets: 12, Current mean: 12.11, Variance: 0.99
Minute: 126, Num of tweets: 11, Current mean: 12.1, Variance: 0.91
