352,352.0,1.0
329,340.5,0.97
257,312.67,0.82
197,283.75,0.69
207,268.4,0.77
156,249.67,0.62
137,233.57,0.59
150,223.12,0.67
160,216.11,0.74
124,206.9,0.6
113,198.36,0.57
102,190.33,0.54
104,183.69,0.57
104,178.0,0.58
180,178.13,1.01
143,175.94,0.81
153,174.59,0.88
127,171.94,0.74
150,170.79,0.88
977,211.1,4.63
1858,289.52,6.42
1008,322.18,3.13
724,339.65,2.13
603,350.62,1.72
470,355.4,1.32
414,357.65,1.16
341,357.04,0.96
401,358.61,1.12
357,358.55,1.0
324,357.4,0.91
356,357.35,1.0
228,353.31,0.65
207,348.88,0.59
220,345.09,0.64
194,340.77,0.57
196,336.75,0.58
214,333.43,0.64
217,330.37,0.66
193,326.85,0.59
149,322.4,0.46
145,318.07,0.46
151,314.1,0.48
146,310.19,0.47
151,306.57,0.49
217,304.58,0.71
198,302.26,0.66
178,299.62,0.59
553,304.9,1.81
852,316.06,2.7
620,322.14,1.92
442,324.49,1.36
371,325.38,1.14
358,326.0,1.1
281,325.17,0.86
246,323.73,0.76
216,321.8,0.67
220,320.02,0.69
179,317.59,0.56
160,314.92,0.51
210,313.17,0.67
243,312.02,0.78
251,311.03,0.81
240,309.9,0.77
272,309.31,0.88
266,308.65,0.86
254,307.82,0.83
215,306.43,0.7
153,304.18,0.5
134,301.71,0.44
236,300.77,0.78
240,299.92,0.8
172,298.14,0.58
170,296.38,0.57
154,294.46,0.52
168,292.77,0.57
120,290.5,0.41
109,288.14,0.38
113,285.9,0.4
174,284.48,0.61
164,282.98,0.58
140,281.21,0.5
151,279.62,0.54
146,278.01,0.53
129,276.24,0.47
140,274.64,0.51
177,273.5,0.65
203,272.69,0.74
209,271.97,0.77
215,271.33,0.79
1282,282.56,4.54
1558,296.57,5.25
955,303.73,3.14
693,307.91,2.25
498,309.94,1.61
416,311.05,1.34
320,311.15,1.03
280,310.82,0.9
262,310.33,0.84
258,309.8,0.83
202,308.72,0.65
216,307.8,0.7
1568,320.16,4.9
1631,332.88,4.9
1199,341.21,3.51
800,345.58,2.31
614,348.11,1.76
704,351.44,2.0
535,353.14,1.51
488,354.38,1.38
381,354.62,1.07
367,354.73,1.03
682,357.65,1.91
1388,366.77,3.78
1233,374.37,3.29
1031,380.08,2.71
908,384.63,2.36
778,387.99,2.01
658,390.28,1.69
568,391.77,1.45
525,392.88,1.34
514,393.88,1.3
483,394.61,1.22
461,395.15,1.17
434,395.47,1.1
432,395.76,1.09
389,395.71,0.98
385,395.62,0.97
